type,id,attributes.state,attributes.lastLocationUpdate,attributes.lastStateChange,attributes.batteryLevel,attributes.currentRangeMeters,attributes.lat,attributes.lng,attributes.maxSpeed,attributes.zoneId,attributes.code,attributes.iotVendor,attributes.licencePlate,attributes.isRentable,attributes.vehicleType,attributes.hasHelmetBox,attributes.hasHelmet
vehicle,6a8df165-8bc4-4148-ace8-8b574a034c8c,ACTIVE,2023-09-22T08:09:55Z,2023-09-19T23:28:19Z,69,30000,51.318758,12.288975,20,LEIPZIG,352502,ninebot_g3,142WOS,True,escooter,False,False
vehicle,dc80c9a6-ba2c-4e92-85b7-ae75cba478b9,ACTIVE,2023-09-22T08:13:49Z,2023-09-19T20:34:57Z,88,41000,51.319059,12.388692,20,LEIPZIG,354090,ninebot_g3,309WOS,True,escooter,False,False
vehicle,9ce104fc-c1c9-4659-a94c-bcf7f6fadc92,ACTIVE,2023-09-22T08:15:39Z,2023-09-20T20:55:03Z,86,40000,51.343857,12.383306,20,LEIPZIG,355202,ninebot_g3,117WOS,True,escooter,False,False
vehicle,c6717883-bb28-4e84-8b6a-8a55fc2c46a2,ACTIVE,2023-09-22T02:58:47Z,2023-09-21T21:55:05Z,92,43000,51.353676,12.411206,20,LEIPZIG,356729,ninebot_g3,102WOS,True,escooter,False,False
vehicle,d6a6d2e1-7e3b-4c33-8436-f2e1da3347c6,ACTIVE,2023-09-20T20:45:21Z,2023-09-18T23:33:55Z,81,37000,51.368369,12.386561,20,LEIPZIG,357739,ninebot_g3,370WOS,True,escooter,False,False
vehicle,5d757b44-8e49-40eb-83cb-660cdf259de9,ACTIVE,2023-09-22T08:29:28Z,2023-09-19T22:35:52Z,71,31000,51.350972,12.346899,20,LEIPZIG,357768,ninebot_g3,001WOD,True,escooter,False,False
vehicle,80597eb0-a2dd-4eb7-9883-2ab234cac53c,ACTIVE,2023-09-21T20:17:09Z,2023-09-19T20:25:27Z,86,40000,51.324026,12.400312,20,LEIPZIG,358962,ninebot_g3,944WOS,True,escooter,False,False
vehicle,31ab0d15-167c-476f-af34-0c4d6d960c29,ACTIVE,2023-09-22T08:39:40Z,2023-09-18T20:51:56Z,84,39000,51.373115,12.456089,20,LEIPZIG,359055,ninebot_g3,468WPP,True,escooter,False,False
vehicle,10d4fb06-7562-4858-90b1-595fb0a3ce31,ACTIVE,2023-09-20T13:41:34Z,2023-09-17T23:03:21Z,65,28000,51.368378,12.386583,20,LEIPZIG,359177,ninebot_g3,899WNG,True,escooter,False,False
vehicle,8873b20c-0ecc-4a81-82a9-b0ecdc82293f,ACTIVE,2023-09-22T06:52:25Z,2023-09-22T04:51:36Z,55,23000,51.332284,12.339094,20,LEIPZIG,361049,ninebot_g3,900WOS,True,escooter,False,False
