type,id,attributes.state,attributes.lastLocationUpdate,attributes.lastStateChange,attributes.batteryLevel,attributes.currentRangeMeters,attributes.lat,attributes.lng,attributes.maxSpeed,attributes.zoneId,attributes.code,attributes.iotVendor,attributes.licencePlate,attributes.isRentable,attributes.vehicleType,attributes.hasHelmetBox,attributes.hasHelmet
vehicle,0b2415b6-9e00-48cc-8e68-e3f29d2d8aba,ACTIVE,2024-04-03T16:00:15Z,2024-04-03T00:34:45Z,66,29000,51.371862,12.364426,20,LEIPZIG,350236,ninebot_g3,310IIC,True,escooter,False,False
vehicle,b357b307-21c4-44ba-b6d1-3b944ad83bd5,ACTIVE,2024-04-02T22:40:23Z,2024-04-02T22:40:24Z,89,41000,51.3450317,12.3706444,20,LEIPZIG,350313,ninebot_g3,414IIC,True,escooter,False,False
vehicle,5cce76bb-15a3-4444-af2d-09792f75e7b0,ACTIVE,2024-04-03T16:11:12Z,2024-03-31T17:33:01Z,40,14000,51.320534,12.326709,20,LEIPZIG,350343,ninebot_g3,041IIC,True,escooter,False,False
vehicle,6dd5439a-9bed-4cbf-adb4-b5216d2274a1,ACTIVE,2024-04-03T15:43:51Z,2024-04-02T00:49:13Z,81,37000,51.344564,12.37071,20,LEIPZIG,351335,ninebot_g3,284IIC,True,escooter,False,False
vehicle,dc80c9a6-ba2c-4e92-85b7-ae75cba478b9,ACTIVE,2024-04-03T14:07:41Z,2024-03-29T20:21:08Z,30,9000,51.301146,12.395721,20,LEIPZIG,354090,ninebot_g3,270IIC,True,escooter,False,False
vehicle,417a109c-754a-4fca-aedc-e6a31362fd54,ACTIVE,2024-04-03T11:54:45Z,2024-03-31T20:40:22Z,29,8000,51.345451,12.406455,20,LEIPZIG,355241,ninebot_g3,340IIC,True,escooter,False,False
vehicle,c6717883-bb28-4e84-8b6a-8a55fc2c46a2,ACTIVE,2024-04-03T15:21:12Z,2024-03-30T03:23:38Z,45,17000,51.321969,12.418913,20,LEIPZIG,356729,ninebot_g3,440IIC,True,escooter,False,False
vehicle,1d51a4c2-cfdd-4224-a183-98de771a6d7e,ACTIVE,2024-04-03T14:37:56Z,2024-03-31T23:33:46Z,58,24000,51.301178,12.395723,20,LEIPZIG,356791,ninebot_g3,030IIC,True,escooter,False,False
vehicle,dde42d88-96a2-4d72-8069-8179291f64cc,ACTIVE,2024-04-03T16:13:01Z,2024-04-02T21:23:30Z,87,40000,51.337825,12.340314,20,LEIPZIG,357254,ninebot_g3,296IIC,True,escooter,False,False
vehicle,5d757b44-8e49-40eb-83cb-660cdf259de9,ACTIVE,2024-04-03T15:46:03Z,2024-04-01T01:13:20Z,56,23000,51.356997,12.385499,20,LEIPZIG,357768,ninebot_g3,318IIC,True,escooter,False,False
vehicle,e91a1308-f10c-4dca-9657-77d17262f960,ACTIVE,2024-04-03T16:33:10Z,2024-04-03T00:44:22Z,91,42000,51.320631,12.326639,20,LEIPZIG,359001,ninebot_g3,273IIC,True,escooter,False,False
vehicle,10d4fb06-7562-4858-90b1-595fb0a3ce31,ACTIVE,2024-04-03T15:49:29Z,2024-04-02T22:40:28Z,89,41000,51.344586,12.37075,20,LEIPZIG,359177,ninebot_g3,104IIC,True,escooter,False,False
vehicle,8873b20c-0ecc-4a81-82a9-b0ecdc82293f,ACTIVE,2024-04-03T14:32:44Z,2024-03-23T06:09:00Z,52,21000,51.362588,12.354869,20,LEIPZIG,361049,ninebot_g3,242IIC,True,escooter,False,False
vehicle,17e10bc1-c0e8-4b41-872c-ade18c652ecd,ACTIVE,2024-04-03T16:32:56Z,2024-03-29T10:08:47Z,44,17000,51.336576,12.374831,20,LEIPZIG,361245,ninebot_g3,082IIC,True,escooter,False,False
vehicle,1bb55819-80ca-42a7-980f-8c772a9929db,ACTIVE,2024-04-03T14:13:07Z,2024-03-19T07:49:52Z,33,10000,51.319156,12.389211,20,LEIPZIG,363046,ninebot_g3,109IIC,True,escooter,False,False
vehicle,3843394f-7a4e-4d0e-a958-2c11f7ab5cb6,ACTIVE,2024-04-03T15:56:37Z,2024-04-01T23:28:50Z,88,41000,51.349152,12.372047,20,LEIPZIG,363049,ninebot_g3,085IIC,True,escooter,False,False
vehicle,018410fb-ce81-4b61-a04c-153e63761dd8,ACTIVE,2024-04-03T16:02:02Z,2024-04-03T00:13:09Z,90,42000,51.350938,12.346882,20,LEIPZIG,364273,ninebot_g3,166IIC,True,escooter,False,False
vehicle,7c642dda-67b2-4919-8f1a-d14c2deddfab,ACTIVE,2024-04-03T15:15:50Z,2024-03-31T20:36:39Z,52,21000,51.36105,12.370239,20,LEIPZIG,365447,ninebot_g3,373IIC,True,escooter,False,False
vehicle,c73ed5a0-6da6-48fe-9556-6bd4fe43606e,ACTIVE,2024-04-03T15:52:32Z,2024-03-23T06:09:52Z,25,6000,51.380766,12.383253,20,LEIPZIG,365490,ninebot_g3,388IIC,True,escooter,False,False
vehicle,d96b2bbe-c9f6-4138-b0e1-d2cb33c8c532,ACTIVE,2024-04-03T12:12:27Z,2024-03-27T02:02:41Z,25,6000,51.319338,12.418533,20,LEIPZIG,365824,ninebot_g3,494IIC,True,escooter,False,False
vehicle,426cb691-322d-4ae6-ad36-b61ccbbcfed1,ACTIVE,2024-04-03T12:28:54Z,2024-03-25T21:08:45Z,65,28000,51.31908,12.388728,20,LEIPZIG,368102,ninebot_g3,126IIC,True,escooter,False,False
vehicle,0aeccd44-5cfe-45eb-9765-9b32e4c73bd6,ACTIVE,2024-04-03T13:26:13Z,2024-04-01T20:29:48Z,38,13000,51.348962,12.355129,20,LEIPZIG,368129,ninebot_g3,312IIC,True,escooter,False,False
vehicle,35ef0346-78fd-437b-9bca-203068efffc7,ACTIVE,2024-04-03T15:58:50Z,2024-03-31T17:14:10Z,35,12000,51.330423,12.37984,20,LEIPZIG,368299,ninebot_g3,182IIC,True,escooter,False,False
vehicle,0b3f60bf-c39a-459c-8d71-333bd920fa75,ACTIVE,2024-04-03T16:05:53Z,2024-03-24T09:21:54Z,32,10000,51.302772,12.426334,20,LEIPZIG,368314,ninebot_g3,039IIC,True,escooter,False,False
vehicle,b77e3a9e-b06c-437b-b504-f9594dcc085b,ACTIVE,2024-04-03T15:19:45Z,2024-04-02T23:44:55Z,76,34000,51.344719,12.370721,20,LEIPZIG,368316,ninebot_g3,276IIC,True,escooter,False,False
