type,id,attributes.state,attributes.lastLocationUpdate,attributes.lastStateChange,attributes.batteryLevel,attributes.currentRangeMeters,attributes.lat,attributes.lng,attributes.maxSpeed,attributes.zoneId,attributes.code,attributes.iotVendor,attributes.licencePlate,attributes.isRentable,attributes.vehicleType,attributes.hasHelmetBox,attributes.hasHelmet
vehicle,0b2415b6-9e00-48cc-8e68-e3f29d2d8aba,ACTIVE,2024-04-07T19:48:27Z,2024-04-06T07:25:47Z,74,33000,51.341177,12.324121,20,LEIPZIG,350236,ninebot_g3,310IIC,True,escooter,False,False
vehicle,5cce76bb-15a3-4444-af2d-09792f75e7b0,ACTIVE,2024-04-07T16:51:52Z,2024-04-07T08:14:37Z,92,43000,51.32054,12.326697,20,LEIPZIG,350343,ninebot_g3,041IIC,True,escooter,False,False
vehicle,6dd5439a-9bed-4cbf-adb4-b5216d2274a1,ACTIVE,2024-04-07T19:17:26Z,2024-04-02T00:49:13Z,35,12000,51.330307,12.315309,20,LEIPZIG,351335,ninebot_g3,284IIC,True,escooter,False,False
vehicle,6a8df165-8bc4-4148-ace8-8b574a034c8c,ACTIVE,2024-04-07T19:44:20Z,2024-04-06T11:03:48Z,89,41000,51.337267,12.333975,20,LEIPZIG,352502,ninebot_g3,158IIC,True,escooter,False,False
vehicle,dc80c9a6-ba2c-4e92-85b7-ae75cba478b9,ACTIVE,2024-04-07T18:35:34Z,2024-04-06T07:42:16Z,52,21000,51.301148,12.395732,20,LEIPZIG,354090,ninebot_g3,270IIC,True,escooter,False,False
vehicle,9ce104fc-c1c9-4659-a94c-bcf7f6fadc92,ACTIVE,2024-04-07T19:08:35Z,2024-04-07T09:16:06Z,88,41000,51.315335,12.41003,20,LEIPZIG,355202,ninebot_g3,032IIC,True,escooter,False,False
vehicle,c6717883-bb28-4e84-8b6a-8a55fc2c46a2,ACTIVE,2024-04-07T14:58:49Z,2024-04-07T05:42:51Z,92,43000,51.321969,12.418908,20,LEIPZIG,356729,ninebot_g3,440IIC,True,escooter,False,False
vehicle,dde42d88-96a2-4d72-8069-8179291f64cc,ACTIVE,2024-04-07T19:50:03Z,2024-04-06T11:52:45Z,72,32000,51.327774,12.345562,20,LEIPZIG,357254,ninebot_g3,296IIC,True,escooter,False,False
vehicle,5d757b44-8e49-40eb-83cb-660cdf259de9,ACTIVE,2024-04-07T18:57:06Z,2024-04-07T13:12:45Z,43,16000,51.337773,12.381728,20,LEIPZIG,357768,ninebot_g3,318IIC,True,escooter,False,False
vehicle,80597eb0-a2dd-4eb7-9883-2ab234cac53c,ACTIVE,2024-04-07T19:24:32Z,2024-04-03T19:36:41Z,60,25000,51.32062,12.373957,20,LEIPZIG,358962,ninebot_g3,143IIC,True,escooter,False,False
vehicle,e91a1308-f10c-4dca-9657-77d17262f960,ACTIVE,2024-04-07T15:51:59Z,2024-04-03T00:44:22Z,69,30000,51.330343,12.31535,20,LEIPZIG,359001,ninebot_g3,273IIC,True,escooter,False,False
vehicle,10d4fb06-7562-4858-90b1-595fb0a3ce31,ACTIVE,2024-04-07T19:10:38Z,2024-04-07T06:11:55Z,84,39000,51.329612,12.373262,20,LEIPZIG,359177,ninebot_g3,104IIC,True,escooter,False,False
vehicle,7eff9a54-dadc-4877-bb90-4d1c4cba857d,ACTIVE,2024-04-07T17:12:14Z,2024-04-04T17:24:29Z,50,20000,51.353479,12.411385,20,LEIPZIG,359357,ninebot_g3,217IIC,True,escooter,False,False
vehicle,8873b20c-0ecc-4a81-82a9-b0ecdc82293f,ACTIVE,2024-04-07T19:10:50Z,2024-03-23T06:09:00Z,40,14000,51.360511,12.357384,20,LEIPZIG,361049,ninebot_g3,242IIC,True,escooter,False,False
vehicle,17e10bc1-c0e8-4b41-872c-ade18c652ecd,ACTIVE,2024-04-07T19:42:06Z,2024-04-06T11:11:15Z,44,17000,51.332456,12.339132,20,LEIPZIG,361245,ninebot_g3,082IIC,True,escooter,False,False
vehicle,b2c67be9-2fc4-454a-9c10-ef7e007627ea,ACTIVE,2024-04-07T19:02:46Z,2024-04-05T08:48:10Z,88,41000,51.380465,12.38298,20,LEIPZIG,363003,ninebot_g3,363IIC,True,escooter,False,False
vehicle,cf3c3ffa-35e1-419e-9477-2019be5d949f,ACTIVE,2024-04-07T19:36:24Z,2024-04-07T07:19:41Z,91,42000,51.341204,12.324081,20,LEIPZIG,363004,ninebot_g3,355IIC,True,escooter,False,False
vehicle,1bb55819-80ca-42a7-980f-8c772a9929db,ACTIVE,2024-04-07T16:08:08Z,2024-04-06T04:54:07Z,77,35000,51.335465,12.355986,20,LEIPZIG,363046,ninebot_g3,109IIC,True,escooter,False,False
vehicle,3843394f-7a4e-4d0e-a958-2c11f7ab5cb6,ACTIVE,2024-04-07T16:27:08Z,2024-04-07T06:01:31Z,87,40000,51.356997,12.3642,20,LEIPZIG,363049,ninebot_g3,085IIC,True,escooter,False,False
vehicle,018410fb-ce81-4b61-a04c-153e63761dd8,ACTIVE,2024-04-07T19:35:21Z,2024-04-03T00:13:09Z,76,34000,51.350925,12.346935,20,LEIPZIG,364273,ninebot_g3,166IIC,True,escooter,False,False
vehicle,23760a48-6233-4604-b055-b86260d47317,ACTIVE,2024-04-07T18:12:20Z,2024-04-05T10:38:43Z,60,25000,51.34909,12.372051,20,LEIPZIG,364298,ninebot_g3,048IIC,True,escooter,False,False
